location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
Guinea-Bissau,Africa,1259.1480000000001,0.0,22.866,0.0,0.29,62.04050000000001,560.9835,376.7435,0.1295,1.61,1.61,0.11499999999999999,64.35499999999999,1967998.0,66.191,1548.675,58.32,0.48,33.28
Guyana,South America,8710.09,58.483000000000004,216.13099999999997,0.0,1.12,35.682,173.893,921.6680000000001,0.012,1.035,1.035,0.32,54.63,786559.0,3.952,7435.047,69.91,0.682,15.77
Haiti,North America,932.688,4.385,20.873,0.0,1.21,66.297,386.38199999999995,78.227,0.0335,0.535,0.885,0.015,36.11,11402533.0,398.44800000000004,1653.1729999999998,64.0,0.51,72.2675
Honduras,North America,13479.282,99.449,338.024,1.514,1.09,48.464,357.30100000000004,1303.4834999999998,0.05450000000000001,9.965,4.23,1.3225,87.96,9904608.0,82.805,4541.795,75.27,0.634,15.530000000000001
Hong Kong,Asia,1267.442,6.669,21.609,0.133,1.175,36.055,221.892,948.6419999999999,0.001,1.125,1.125,0.025,71.3,7496988.0,7039.714,56054.92,84.86,0.9490000000000001,21.17
Hungary,Europe,36291.335,140.575,1166.003,9.834,0.87,68.11800000000001,460.12800000000004,257.29900000000004,0.08800000000000001,1.65,1.5350000000000001,0.115,72.22,9660350.0,108.04299999999999,26777.561,76.88,0.8540000000000001,9.85
Iceland,Europe,17453.48,17.582,84.98200000000001,0.0,0.76,36.2915,55.678000000000004,739.997,0.036,4.46,3.06,1.4,44.44,341250.0,3.404,46482.958,82.99,0.9490000000000001,8.11
India,Asia,7650.689,10.76,110.34299999999999,0.11699999999999999,0.92,69.94149999999999,453.502,134.612,0.019,0.11,0.11,0.51,68.98,1380004385.0,450.41900000000004,6426.674,69.66,0.645,92.655
Indonesia,Asia,3278.115,41.232,94.204,0.852,1.11,57.69799999999999,455.75700000000006,20.019000000000002,0.253,0.1,0.1,0.005,68.06,273523621.0,145.725,11188.743999999999,71.72,0.718,89.465
Iran,Asia,15767.93,74.423,675.2589999999999,1.024,1.0,41.0665,394.81950000000006,102.801,0.11599999999999999,1.04,0.325,0.0025,78.24,83992953.0,49.831,19082.62,76.68,0.7829999999999999,10.485
Iraq,Asia,15105.649,19.914,321.586,0.174,0.94,12.030750000000001,266.7865,127.7175,0.024,0.7325,0.6125,0.1,53.7,40222503.0,88.125,15663.986,70.6,0.674,15.0
Ireland,Europe,34383.762,596.622,525.538,4.658,0.84,38.681,342.25800000000004,561.388,0.132,1.9,3.02,0.64,85.19,4937796.0,69.874,67335.293,82.3,0.955,22.28
Isle of Man,Europe,59441.808000000005,373.9665,619.5175,0.0,0.9600000000000001,35.682,98.129,1156.5347499999998,0.0865,4.95,4.99,0.75,41.205,85032.0,147.872,15582.154999999999,81.4,0.823,9.56
Israel,Asia,62792.030999999995,811.85,457.395,5.083,1.09,37.664,242.50400000000002,1158.358,0.076,27.59,24.72,4.54,85.19,8655541.0,402.606,33132.32,82.97,0.919,19.64
Italy,Europe,39177.33,232.46099999999998,1352.92,7.856,0.94,41.711999999999996,419.48800000000006,479.569,0.08900000000000001,1.96,1.96,0.005,78.7,60461828.0,205.859,35220.084,83.51,0.892,7.39
Jamaica,North America,4760.295,30.055999999999997,109.079,0.33799999999999997,1.16,62.04050000000001,560.9835,51.335,0.102,1.19,1.19,0.11499999999999999,71.3,2961161.0,266.879,8193.571,74.47,0.7340000000000001,17.435000000000002
Japan,Asia,2569.19,38.964,35.382,0.585,1.09,50.0015,394.81950000000006,42.667,0.086,0.1875,0.185,0.015,49.54,126476458.0,347.778,39002.223,84.63,0.919,4.94
Jordan,Asia,30731.422000000002,95.853,405.463,1.47,0.83,68.11800000000001,429.88,348.168,0.046,0.29,0.29,0.042499999999999996,81.48,10203140.0,109.285,8337.49,74.53,0.7290000000000001,18.950000000000003
Kazakhstan,Asia,11446.469,54.323,153.648,0.0,1.06,47.9835,135.3005,323.447,0.031,0.0,0.0,0.05500000000000001,68.52,18776707.0,6.681,24055.588,73.6,0.825,2.38
Kenya,Africa,1842.656,2.399,32.135999999999996,0.055999999999999994,0.88,20.56975,392.3795,20.2465,0.03,0.3225,0.2925,0.035,53.7,53771300.0,87.324,2993.028,66.7,0.601,36.585
Kosovo,Europe,28526.356,149.526,723.83,2.07,1.1,62.04050000000001,560.9835,376.7435,0.1295,1.61,1.61,0.11499999999999999,71.3,1932774.0,168.155,9795.834,66.805,0.673,39.33
Kuwait,Asia,36856.733,115.91,221.75099999999998,0.23399999999999999,1.16,21.776999999999997,385.6095,325.319,0.053,0.82,0.495,0.205,65.74,4270563.0,232.128,65530.537000000004,75.49,0.8059999999999999,46.375
Kyrgyzstan,Asia,12738.591,19.006,212.13400000000001,0.307,0.89,36.076499999999996,320.827,232.22749999999996,0.14550000000000002,1.54,1.535,0.035,41.67,6524191.0,32.333,3393.474,71.45,0.6970000000000001,-2.05
Laos,Asia,5.635,0.0,185.70749999999998,1.118,0.8999999999999999,43.513999999999996,373.10699999999997,516.7189999999999,0.133,1.54,1.535,0.035,29.63,7275556.0,29.715,6397.36,67.92,0.613,18.48
Latvia,Europe,29210.551,464.425,509.48900000000003,9.013,0.99,62.04050000000001,557.735,546.434,0.086,0.85,0.85,0.05,57.41,1886202.0,31.212,25063.846,75.29,0.866,27.23
Lebanon,Asia,36504.303,535.35,273.389,6.446000000000001,1.11,36.076499999999996,320.827,272.3515,0.11850000000000001,1.54,1.535,0.035,90.74,6825442.0,594.561,13367.565,78.93,0.7440000000000001,76.31
Lesotho,Africa,2973.973,15.404000000000002,43.412,0.934,1.07,62.04050000000001,560.9835,283.329,0.21100000000000002,1.61,1.61,0.11499999999999999,77.78,2142252.0,73.562,2851.153,54.33,0.527,20.365
Liberia,Africa,373.096,0.0,16.608,0.0,0.36,21.776999999999997,183.02650000000003,326.8725,0.24025,0.47,0.47,0.06,35.19,5057677.0,49.126999999999995,752.788,64.1,0.48,13.605
Libya,Africa,15720.053999999998,93.141,240.275,1.455,1.11,36.076499999999996,320.827,133.341,0.167,1.54,1.535,0.035,80.56,6871287.0,3.623,17881.509,72.91,0.7240000000000001,37.845
